"","Estacao","Data_de_Amostragem","Ano","Hora_de_Amostragem","Latitude","Longitude","Aluminio_dissolvido","Aluminio_total","Bario_total","Calcio_total","Chumbo_total","Cobre_dissolvido","Cobre_total","Cromo_hexavalente","Cromo_total","Cromo_trivalente","Estanho_total","Ferro_dissolvido","Ferro_total","Magnesio_total","Manganes_total","Manganes_dissolvido","Niquel_total","Potassio_total","Potassio_dissolvido","Sodio_dissolvido","Sodio_total","Condutividade_eletrica_in_loco","Condutividade_eletrica_laboratorio","Fluoreto_ionizado","Fosforo_total","Solidos_dissolvidos_totais","Solidos_em_suspensao_totais","Solidos_totais","Turbidez"
"1","RD019",1997-09-02,"1997",1899-12-31 10:15:00,-20.02,-42.75,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,NA,0.04,NA,44.27,NA,15
"2","RD019",1997-11-11,"1997",1899-12-31 10:30:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,189.68,NA,60
"3","RD019",1998-03-19,"1998",1899-12-31 15:00:00,-20.02,-42.75,NA,0.367,0.05,NA,NA,NA,0.003,NA,NA,NA,NA,0.21,NA,NA,0.235,NA,0.005,NA,NA,2.61,NA,37.8,NA,NA,0.05,51.58,46.42,98,50
"4","RD019",1998-08-28,"1998",1899-12-31 08:35:00,-20.02,-42.75,NA,NA,0.2,4.52,0.005,NA,0.007,0.01,0.05,0.05,NA,0.12,NA,0.8712,0.11,NA,0.004,NA,1.42,3.71,NA,56.1,NA,NA,0.05,39,16,55,5.35
"5","RD019",1998-11-05,"1998",1899-12-31 14:25:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,NA,NA,0.31,55,262,317,221
"6","RD019",1999-03-25,"1999",1899-12-31 14:50:00,-20.02,-42.75,NA,NA,0.2,4.52,0.011,NA,0.084,0.01,0.05,0.05,NA,0.31,NA,0.6534,0.18,NA,0.004,NA,1.2,3.27,NA,44.5,NA,NA,0.09,39,60,99,51.2
"7","RD019",1999-05-13,"1999",1899-12-31 13:35:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,0.02,42,12,54,11.6
"8","RD019",1999-08-19,"1999",1899-12-31 14:40:00,-20.02,-42.75,NA,0.63,0.2,3.44,0.005,NA,0.007,0.02,0.07,0.05,NA,0.05,NA,1.5246,0.09,NA,0.007,NA,1.19,4.97,NA,50.9,NA,NA,0.03,36,11,47,11.6
"9","RD019",1999-11-08,"1999",1899-12-31 14:05:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3,NA,NA,0.23,49,273,322,223
"10","RD019",2000-02-15,"2000",1899-12-31 15:20:00,-20.02,-42.75,NA,3.43,0.2,3.4,0.029,NA,0.007,0.01,0.05,0.05,NA,0.27,NA,1.573,0.38,NA,0.012,NA,1.28,3,NA,40.7,NA,NA,0.13,39,160,199,133
"11","RD019",2000-05-03,"2000",1899-12-31 15:30:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.18,NA,NA,0.1,NA,NA,NA,NA,NA,NA,42.2,NA,NA,0.05,44,14,58,27.2
"12","RD019",2000-08-01,"2000",1899-12-31 15:45:00,-20.02,-42.75,NA,0.1,0.2,3.52,0.005,NA,0.007,0.01,0.05,0.05,NA,0.13,NA,1.9844,0.23,NA,0.008,NA,1.15,3.84,NA,47.7,NA,NA,0.03,33,18,51,14.3
"13","RD019",2000-10-26,"2000",1899-12-31 14:50:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,49.3,NA,NA,0.03,39,23,62,27
"14","RD019",2001-02-13,"2001",1899-12-31 15:05:00,-20.02,-42.75,NA,4.45,0.036,4.2,0.021,NA,0.007,0.01,0.04,0.04,NA,0.4,NA,1.3794,0.176,NA,0.004,NA,1.16,2.13,NA,43.8,NA,NA,0.08,33,65,98,83.3
"15","RD019",2001-05-03,"2001",1899-12-31 14:40:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,48.1,NA,NA,0.06,44,20,64,17.3
"16","RD019",2001-08-14,"2001",1899-12-31 15:00:00,-20.02,-42.75,NA,0.6,0.021,4.24,0.005,NA,0.007,0.01,0.04,0.04,NA,0.07,NA,1.2584,0.058,NA,0.004,NA,1.43,4.76,NA,52.8,NA,NA,0.03,39,14,53,5.78
"17","RD019",2001-10-23,"2001",1899-12-31 15:20:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,53,51,NA,0.08,51,83,134,84.6
"18","RD023",1997-09-16,"1997",1899-12-31 13:20:00,-19.76,-42.48,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,NA,NA,0.06,NA,32.8,NA,20
"19","RD023",1997-11-20,"1997",1899-12-31 10:30:00,-19.76,-42.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,NA,NA,0.02,NA,40.04,NA,20
"20","RD023",1998-03-18,"1998",1899-12-31 17:20:00,-19.76,-42.48,NA,0.807,0.08,NA,0.02,NA,0.008,NA,0.05,NA,NA,0.06,NA,NA,0.84,NA,0.005,NA,NA,2.59,NA,40.7,NA,NA,0.11,40.14,254.86,295,180
"21","RD023",1998-08-30,"1998",1899-12-31 09:20:00,-19.76,-42.48,NA,NA,0.2,4.8,0.005,NA,0.007,0.01,0.05,0.05,NA,0.15,NA,1.2826,0.11,NA,0.004,NA,1.74,3.82,NA,58.2,NA,NA,0.06,38,23,61,19.7
"22","RD023",1998-11-08,"1998",1899-12-31 09:20:00,-19.76,-42.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,0.14,54,114,168,107
"23","RD023",1999-03-28,"1999",1899-12-31 09:25:00,-19.76,-42.48,NA,NA,0.2,4.32,0.048,NA,0.097,0.02,0.07,0.05,NA,0.49,NA,1.089,0.42,NA,0.014,NA,1.43,2.85,NA,42.4,NA,NA,0.16,42,97,139,108
"24","RD023",1999-05-16,"1999",1899-12-31 10:00:00,-19.76,-42.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,NA,NA,0.06,50,25,75,15.2
"25","RD023",1999-08-22,"1999",1899-12-31 09:20:00,-19.76,-42.48,NA,0.64,0.2,3.08,0.015,NA,0.007,0.01,0.05,0.05,NA,0.05,NA,1.8876,0.08,NA,0.014,NA,1.51,3.89,NA,49.8,NA,NA,0.01,36,10,46,12.7
"26","RD023",1999-11-10,"1999",1899-12-31 09:50:00,-19.76,-42.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2,NA,NA,0.29,57,153,210,155
"27","RD023",2000-02-17,"2000",1899-12-31 10:05:00,-19.76,-42.48,NA,4.89,0.2,3.28,0.018,NA,0.007,0.01,0.05,0.05,NA,0.35,NA,1.6456,0.31,NA,0.011,NA,1.21,3,NA,43.5,NA,NA,0.13,41,156,197,133
"28","RD023",2000-05-05,"2000",1899-12-31 09:25:00,-19.76,-42.48,NA,NA,NA,NA,0.005,NA,0.007,NA,NA,NA,NA,0.22,NA,NA,0.07,NA,NA,NA,NA,NA,NA,42.8,NA,NA,0.05,38,31,69,37.3
"29","RD023",2000-08-03,"2000",1899-12-31 09:35:00,-19.76,-42.48,NA,0.96,0.2,3.6,0.005,NA,0.007,0.01,0.05,0.05,NA,0.12,NA,1.331,0.1,NA,0.004,NA,1.45,4.07,NA,47.7,NA,NA,0.06,50,1,51,18.2
"30","RD023",2000-10-29,"2000",1899-12-31 10:20:00,-19.76,-42.48,NA,NA,NA,NA,0.005,NA,0.007,NA,NA,NA,NA,0.25,NA,NA,0.11,NA,NA,NA,NA,NA,NA,47.2,NA,NA,0.03,39,25,64,29.9
"31","RD023",2001-02-15,"2001",1899-12-31 09:40:00,-19.76,-42.48,NA,4.26,0.044,4.28,0.005,NA,0.004,0.01,0.04,0.04,NA,0.46,NA,1.1616,0.192,NA,0.014,NA,1.24,2.15,NA,47.4,NA,NA,0.01,34,68,102,62.2
"32","RD023",2001-05-07,"2001",1899-12-31 09:40:00,-19.76,-42.48,NA,NA,NA,NA,0.014,NA,0.007,NA,NA,NA,NA,0.11,NA,NA,0.083,NA,NA,NA,NA,NA,NA,46.1,NA,NA,0.05,34,26,60,29
"33","RD023",2001-08-16,"2001",1899-12-31 10:10:00,-19.76,-42.48,NA,0.54,0.025,4.64,0.005,NA,0.004,0.01,0.04,0.04,NA,0.08,NA,1.0648,0.085,NA,0.014,NA,1.58,4.34,NA,51.8,NA,NA,0.04,42,9,51,8.08
"34","RD023",2001-10-25,"2001",1899-12-31 09:40:00,-19.76,-42.48,NA,NA,NA,NA,0.005,NA,0.033,NA,NA,NA,NA,0.45,NA,NA,0.288,NA,NA,NA,NA,NA,NA,54,51,NA,0.07,47,79,126,96.1
"35","RD033",1997-07-30,"1997",1899-12-31 08:00:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7,NA,NA,NA,NA,34.26,NA,15
"36","RD033",1997-11-05,"1997",1899-12-31 09:00:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,NA,NA,0.05,NA,60.69,NA,30
"37","RD033",1998-03-11,"1998",1899-12-31 08:00:00,-19.33,-42.38,NA,0.17,0.05,NA,NA,NA,0.003,NA,0.05,NA,NA,0.22,NA,NA,0.194,NA,NA,NA,NA,3.07,NA,49.1,NA,NA,0.06,44.84,22.16,67,20
"38","RD033",1998-08-30,"1998",1899-12-31 12:15:00,-19.33,-42.38,NA,NA,0.2,6.2,0.005,NA,0.007,0.01,0.05,0.05,NA,0.15,NA,0.726,0.07,NA,0.004,NA,2.02,8.9,NA,85,NA,NA,0.08,59,18,77,8.2
"39","RD033",1998-11-08,"1998",1899-12-31 12:15:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,0.11,61,80,141,109
"40","RD033",1999-03-28,"1999",1899-12-31 12:05:00,-19.33,-42.38,NA,NA,0.2,5.08,0.016,NA,0.081,0.02,0.07,0.05,NA,0.26,NA,1.0164,0.48,NA,0.012,NA,1.57,6.06,NA,64.1,NA,NA,0.18,53,93,146,124
"41","RD033",1999-05-16,"1999",1899-12-31 12:25:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8,NA,NA,0.07,59,28,87,18.9
"42","RD033",1999-08-22,"1999",1899-12-31 12:15:00,-19.33,-42.38,NA,0.62,0.2,4.92,0.005,NA,0.007,0.01,0.05,0.05,NA,0.05,NA,1.936,0.06,NA,0.005,NA,1.83,14.7,NA,95.5,NA,NA,0.06,65,9,74,13
"43","RD033",1999-11-10,"1999",1899-12-31 12:15:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6,NA,NA,0.32,79,282,361,315
"44","RD033",2000-02-18,"2000",1899-12-31 09:15:00,-19.33,-42.38,NA,5.47,0.2,3.76,0.024,NA,0.007,0.01,0.05,0.05,NA,0.32,NA,1.7908,0.29,NA,0.02,NA,1.4,4,NA,53.9,NA,NA,0.17,51,121,172,128
"45","RD033",2000-05-07,"2000",1899-12-31 08:25:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,65.2,NA,NA,0.07,52,48,100,51.8
"46","RD033",2000-08-04,"2000",1899-12-31 09:35:00,-19.33,-42.38,NA,2.15,0.2,4.24,0.005,NA,0.007,0.01,0.05,0.05,NA,0.1,NA,1.7424,0.12,NA,0.009,NA,2.08,8.88,NA,78.5,NA,NA,0.06,63,10,73,20.2
"47","RD033",2000-10-30,"2000",1899-12-31 09:45:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,103,NA,NA,0.07,58,26,84,16.4
"48","RD033",2001-02-16,"2001",1899-12-31 09:15:00,-19.33,-42.38,NA,3.68,0.048,5.68,0.005,NA,0.004,0.01,0.04,0.04,NA,0.39,NA,0.9196,0.165,NA,0.01,NA,1.46,5.24,NA,75.3,NA,NA,0.09,45,64,109,47.3
"49","RD033",2001-05-08,"2001",1899-12-31 08:45:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA,95.6,NA,NA,0.07,67,13,80,30.2
"50","RD033",2001-08-17,"2001",1899-12-31 08:55:00,-19.33,-42.38,NA,0.84,0.028,6.04,0.005,NA,0.006,0.01,0.04,0.04,NA,0.07,NA,1.3552,0.07,NA,0.004,NA,2.05,11.7,NA,99.6,NA,NA,0.07,67,18,85,18
"51","RD033",2001-10-26,"2001",1899-12-31 08:55:00,-19.33,-42.38,NA,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,0.285,NA,NA,NA,NA,NA,NA,74,67,NA,0.02,61,47,108,83.9
"52","RD035",1997-08-05,"1997",1899-12-31 10:30:00,-19.49,-42.49,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,0.03,NA,4.29,NA,3
"53","RD035",1997-10-28,"1997",1899-12-31 11:00:00,-19.49,-42.49,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,NA,0.07,NA,53.83,NA,35
"54","RD035",2000-02-17,"2000",1899-12-31 14:25:00,-19.49,-42.49,NA,3.95,0.2,3.8,0.023,NA,0.007,0.01,0.05,0.05,NA,0.32,NA,1.5488,0.21,NA,0.009,NA,1.36,3,NA,48.3,NA,NA,0.12,41,146,187,141
"55","RD035",2000-05-05,"2000",1899-12-31 13:15:00,-19.49,-42.49,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,NA,0.07,46,47,93,50.5
"56","RD035",2000-08-03,"2000",1899-12-31 14:40:00,-19.49,-42.49,NA,1.09,0.2,3.96,0.005,NA,0.007,0.01,0.05,0.05,NA,0.11,NA,2.4442,0.1,NA,0.006,NA,1.66,5,NA,62.4,NA,NA,0.08,57,5,62,21.1
"57","RD035",2000-10-29,"2000",1899-12-31 14:35:00,-19.49,-42.49,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,NA,0.05,38,28,66,21.6
"58","RD035",2001-02-15,"2001",1899-12-31 14:15:00,-19.49,-42.49,NA,3.99,0.036,5.04,0.02,NA,0.004,0.01,0.04,0.04,NA,0.39,NA,0.9922,0.161,NA,0.005,NA,1.27,2.61,NA,56.6,NA,NA,0.07,30,68,98,54.6
"59","RD035",2001-05-07,"2001",1899-12-31 13:50:00,-19.49,-42.49,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.093,NA,NA,NA,NA,NA,NA,50.4,NA,NA,0.05,42,21,63,30.8
"60","RD035",2001-08-16,"2001",1899-12-31 14:10:00,-19.49,-42.49,NA,0.44,0.025,4.88,0.005,NA,0.007,0.01,0.04,0.04,NA,0.07,NA,1.331,0.08,NA,0.004,NA,1.61,4.44,NA,56.7,NA,NA,0.15,30,29,59,15.9
"61","RD035",2001-10-25,"2001",1899-12-31 14:10:00,-19.49,-42.49,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA,0.382,NA,NA,NA,NA,NA,NA,58,52,NA,0.09,51,92,143,150
"62","RD044",2000-02-21,"2000",1899-12-31 08:40:00,-18.88,-41.95,NA,4.95,0.2,3.32,0.027,NA,0.007,0.01,0.05,0.05,NA,0.24,NA,2.0086,0.23,NA,0.01,NA,1.32,3,NA,42.4,NA,NA,0.16,45,200,245,168
"63","RD044",2000-05-08,"2000",1899-12-31 08:55:00,-18.88,-41.95,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,0.06,36,34,70,55.5
"64","RD044",2000-08-06,"2000",1899-12-31 08:45:00,-18.88,-41.95,NA,1.17,0.2,3.36,0.005,NA,0.007,0.01,0.05,0.05,NA,0.1,NA,1.694,0.05,NA,0.008,NA,1.99,6.46,NA,59.5,NA,NA,0.06,52,1,53,21
"65","RD044",2000-10-30,"2000",1899-12-31 15:00:00,-18.88,-41.95,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,NA,0.05,46,16,62,12.1
"66","RD044",2001-02-16,"2001",1899-12-31 14:33:00,-18.88,-41.95,NA,5.45,0.035,4.76,0.007,NA,0.004,0.01,0.09,0.09,NA,0.37,NA,0.4598,0.118,NA,0.004,NA,1.4,2.83,NA,12.8,NA,NA,0.07,34,45,79,29.8
"67","RD044",2001-05-08,"2001",1899-12-31 13:40:00,-18.88,-41.95,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,70.4,NA,NA,0.05,53,14,67,24.3
"68","RD044",2001-08-17,"2001",1899-12-31 14:50:00,-18.88,-41.95,NA,0.25,0.024,5.16,0.005,NA,0.004,0.01,0.04,0.04,NA,0.08,NA,0.8228,0.037,NA,0.004,NA,1.96,9.97,NA,83,NA,NA,0.04,59,3,62,11.7
"69","RD044",2001-10-26,"2001",1899-12-31 13:40:00,-18.88,-41.95,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,0.255,NA,NA,NA,NA,NA,NA,68,60,NA,0.08,53,63,116,97.5
"70","RD045",1997-07-30,"1997",1899-12-31 12:30:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6,NA,NA,NA,NA,16.06,NA,15
"71","RD045",1997-11-05,"1997",1899-12-31 13:00:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,NA,NA,0.16,NA,50.21,NA,30
"72","RD045",1998-03-12,"1998",1899-12-31 08:00:00,-18.86,-41.83,NA,0.152,0.05,NA,NA,NA,0.003,NA,0.05,NA,NA,0.28,NA,NA,0.095,NA,NA,NA,NA,3.8,NA,49.8,NA,NA,0.1,52.27,21.73,74,25
"73","RD045",1998-08-31,"1998",1899-12-31 08:35:00,-18.86,-41.83,NA,NA,0.2,3.44,0.005,NA,0.007,0.01,0.05,0.05,NA,0.15,NA,0.6776,0.05,NA,0.004,NA,2.02,6.18,NA,63,NA,NA,0.04,42,12,54,5.05
"74","RD045",1998-11-09,"1998",1899-12-31 09:55:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,NA,NA,0.12,58,70,128,133
"75","RD045",1999-03-29,"1999",1899-12-31 09:20:00,-18.86,-41.83,NA,NA,0.2,7.88,0.017,NA,0.065,0.01,0.05,0.05,NA,0.28,NA,0.6292,0.15,NA,0.011,NA,1.49,4.83,NA,56.7,NA,NA,0.13,83,60,143,61.1
"76","RD045",1999-05-17,"1999",1899-12-31 09:00:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.6,NA,NA,0.05,46,20,66,15.3
"77","RD045",1999-08-23,"1999",1899-12-31 09:25:00,-18.86,-41.83,NA,0.55,0.2,3.84,0.005,NA,0.007,0.01,0.05,0.05,NA,0.07,NA,1.1616,0.05,NA,0.004,NA,1.71,10.35,NA,74.3,NA,NA,0.07,52,3,55,9.67
"78","RD045",1999-11-11,"1999",1899-12-31 08:45:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,NA,NA,0.22,81,330,411,444
"79","RD045",2000-02-21,"2000",1899-12-31 09:45:00,-18.86,-41.83,NA,4.95,0.2,3.08,0.026,NA,0.007,0.01,0.05,0.05,NA,0.25,NA,1.5972,0.2,NA,0.018,NA,1.31,3,NA,44.3,NA,NA,0.15,50,182,232,143
"80","RD045",2000-05-08,"2000",1899-12-31 10:15:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.2,NA,NA,0.09,NA,NA,NA,NA,NA,NA,53,NA,NA,0.05,38,21,59,42.2
"81","RD045",2000-08-06,"2000",1899-12-31 10:00:00,-18.86,-41.83,NA,0.67,0.2,3.84,0.005,NA,0.007,0.01,0.05,0.05,NA,0.1,NA,1.4036,0.05,NA,0.007,NA,1.92,6.43,NA,62.1,NA,NA,0.03,45,9,54,12.3
"82","RD045",2000-10-31,"2000",1899-12-31 08:40:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,72,NA,NA,0.01,48,13,61,7.77
"83","RD045",2001-02-18,"2001",1899-12-31 08:45:00,-18.86,-41.83,NA,2.85,0.032,4.28,0.005,NA,0.007,0.01,0.04,0.04,NA,0.4,NA,0.9922,0.092,NA,0.004,NA,1.43,4.22,NA,61.3,NA,NA,0.07,42,42,84,30.9
"84","RD045",2001-05-09,"2001",1899-12-31 08:35:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,72.2,NA,NA,0.06,60,7,67,15.3
"85","RD045",2001-08-19,"2001",1899-12-31 08:40:00,-18.86,-41.83,NA,0.63,0.027,4.84,0.005,NA,0.007,0.01,0.04,0.04,NA,0.03,NA,1.2826,0.043,NA,0.004,NA,2.02,10.2,NA,85.6,NA,NA,0.04,63,4,67,9.11
"86","RD045",2001-10-28,"2001",1899-12-31 08:50:00,-18.86,-41.83,NA,NA,NA,NA,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,62,58,NA,0.05,56,25,81,48.9
"87","RD053",1997-09-04,"1997",1899-12-31 11:30:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.6,NA,NA,NA,NA,11.39,NA,9
"88","RD053",1997-11-19,"1997",1899-12-31 15:20:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.2,NA,NA,0.01,NA,25.05,NA,20
"89","RD053",1998-08-31,"1998",1899-12-31 13:20:00,-18.97,-41.65,NA,NA,0.2,3.68,0.005,NA,0.007,0.01,0.05,0.05,NA,0.15,NA,0.9438,0.05,NA,0.004,NA,1.92,7.25,NA,73.2,NA,NA,0.05,42,13,55,6.46
"90","RD053",1998-11-09,"1998",1899-12-31 11:20:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,NA,0.09,59,76,135,127
"91","RD053",1999-03-29,"1999",1899-12-31 11:25:00,-18.97,-41.65,NA,NA,0.2,4.72,0.016,NA,0.083,0.02,0.07,0.05,NA,0.29,NA,0.1936,0.14,NA,0.004,NA,1.57,4.65,NA,52.9,NA,NA,0.16,46,49,95,55.6
"92","RD053",1999-05-17,"1999",1899-12-31 11:00:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,NA,NA,0.03,48,18,66,14.7
"93","RD053",1999-08-23,"1999",1899-12-31 11:05:00,-18.97,-41.65,NA,0.45,0.2,3.68,0.005,NA,0.007,0.01,0.05,0.05,NA,0.08,NA,1.5246,0.05,NA,0.004,NA,1.66,8.15,NA,68.6,NA,NA,0.01,52,5,57,4.58
"94","RD053",1999-11-11,"1999",1899-12-31 10:20:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,NA,NA,0.4,78,396,474,496
"95","RD053",2000-02-21,"2000",1899-12-31 11:40:00,-18.97,-41.65,NA,6.77,0.2,3.32,0.067,NA,0.008,0.01,0.05,0.05,NA,0.19,NA,1.6214,0.25,NA,0.017,NA,1.68,4,NA,49.2,NA,NA,0.24,59,214,273,231
"96","RD053",2000-05-08,"2000",1899-12-31 11:35:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.19,NA,NA,0.1,NA,NA,NA,NA,NA,NA,50.1,NA,NA,0.05,38,39,77,46
"97","RD053",2000-08-06,"2000",1899-12-31 11:40:00,-18.97,-41.65,NA,0.8,0.2,4.16,0.005,NA,0.007,0.01,0.05,0.05,NA,0.1,NA,1.5488,0.05,NA,0.007,NA,2.05,6.41,NA,62.4,NA,NA,0.05,43,3,46,6.44
"98","RD053",2000-10-31,"2000",1899-12-31 10:35:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,76,NA,NA,0.03,46,17,63,7.64
"99","RD053",2001-02-18,"2001",1899-12-31 10:24:00,-18.97,-41.65,NA,2.69,0.029,4.44,0.005,NA,0.007,0.01,0.04,0.04,NA,0.28,NA,0.847,0.089,NA,0.004,NA,1.66,4.48,NA,61.2,NA,NA,0.06,41,33,74,27.9
"100","RD053",2001-05-09,"2001",1899-12-31 10:25:00,-18.97,-41.65,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,68.1,NA,NA,0.05,50,17,67,15.6
"101","RD053",2001-08-19,"2001",1899-12-31 10:00:00,-18.97,-41.65,NA,0.22,0.026,4.84,0.005,NA,0.004,0.01,0.04,0.04,NA,0.06,NA,1.089,0.057,NA,0.004,NA,1.88,9.31,NA,82.2,NA,NA,0.04,58,9,67,12.3
